hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,93394.79800000026,0,0,1,0,0,1,1,1,0,0,1
1,91095.37200000024,0,0,1,0,0,1,1,1,0,0,1
2,94546.8220000004,0,0,1,0,0,1,1,1,0,0,1
3,92827.10400000046,0,0,1,1,0,1,1,1,0,0,1
4,93349.62200000037,0,0,1,1,0,1,1,1,0,0,1
5,93226.93000000037,0,0,1,1,0,1,1,1,0,0,1
6,216368.04800000065,0,0,1,1,0,1,1,1,0,0,1
7,580900.4180000013,0,0,1,1,0,1,1,1,0,0,1
8,533944.7449999984,0,0,1,1,0,1,1,1,0,0,1
9,609588.0029999973,0,0,1,1,0,1,1,1,0,0,1
10,571778.1129999986,0,0,1,1,0,1,1,1,0,0,1
11,517673.36899999995,0,0,1,1,0,1,1,1,0,1,1
12,550611.5919999995,0,0,1,1,0,1,1,1,0,1,1
13,558296.454,0,0,1,1,0,1,1,1,0,1,1
14,566562.8300000008,0,0,1,1,0,1,1,1,0,1,1
15,565742.2269999996,0,0,1,1,0,1,1,1,0,0,1
16,531202.6279999987,0,0,1,1,0,1,1,1,0,0,1
17,533364.2439999977,0,0,1,1,0,1,1,1,0,0,1
18,528044.4210000003,0,0,1,1,0,1,1,1,0,1,1
19,548017.7820000005,0,0,1,1,1,1,1,1,0,1,1
20,187922.88799999934,0,0,1,1,1,1,1,1,0,1,1
21,181000.10800000041,0,0,1,1,0,1,1,1,0,1,1
22,91579.75500000046,0,0,1,1,0,1,1,1,0,1,1
23,93803.61800000019,0,0,1,1,0,1,1,1,0,1,1
24,94842.24899999998,0,0,1,1,0,1,1,1,0,1,1
25,93416.50400000055,0,0,1,1,0,1,1,1,0,1,1
26,92613.15700000056,0,0,1,1,0,1,1,1,0,1,1
27,94060.80500000037,0,0,1,1,0,1,1,1,0,1,1
28,92559.8100000007,0,0,1,1,0,1,1,1,0,1,1
29,135248.52700000006,0,0,1,1,0,1,1,1,0,1,1
30,145340.69400000054,0,0,1,1,0,1,1,1,0,1,1
