min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-121,846.884,0,0,1,0,0,1,1,1,0,0,1
-120,1795.1100000000004,0,0,1,0,0,1,1,1,0,0,1
-119,1722.6650000000002,0,0,1,1,0,1,1,1,0,0,1
-118,1781.2079999999994,0,0,1,0,0,1,1,1,0,0,1
-117,1850.9140000000002,0,0,1,1,0,1,1,1,0,0,1
-116,1716.8950000000002,0,0,1,0,0,1,1,1,0,0,1
-115,1754.484,0,0,1,1,0,1,1,1,0,0,1
-114,1746.9530000000009,0,0,1,1,0,1,1,1,0,0,1
-113,1804.7230000000002,0,0,1,0,0,1,1,1,0,0,1
-112,1772.3839999999996,0,0,1,0,0,1,1,1,0,0,1
-111,1768.3800000000003,0,0,1,0,0,1,1,1,0,0,1
-110,1691.4900000000007,0,0,1,1,0,1,1,1,0,0,1
-109,1803.663,0,0,1,0,0,1,1,1,0,0,1
-108,1784.8919999999998,0,0,1,1,0,1,1,1,0,0,1
-107,1751.3899999999996,0,0,1,0,0,1,1,1,0,0,1
-106,1688.6629999999998,0,0,1,0,0,1,1,1,0,0,1
-105,1759.5190000000002,0,0,1,0,0,1,1,1,0,0,1
-104,1781.182,0,0,1,0,0,1,1,1,0,0,1
-103,1740.0580000000007,0,0,1,0,0,1,1,1,0,0,1
-102,1770.7150000000004,0,0,1,0,0,1,1,1,0,0,1
-101,1730.1749999999993,0,0,1,0,0,1,1,1,0,0,1
-100,1661.1300000000003,0,0,1,0,0,1,1,1,0,0,1
-99,1749.718,0,0,1,1,0,1,1,1,0,0,1
-98,1756.9439999999997,0,0,1,0,0,1,1,1,0,0,1
-97,1732.993,0,0,1,0,0,1,1,1,0,0,1
-96,1721.659999999999,0,0,1,1,0,1,1,1,0,0,1
-95,1756.9930000000004,0,0,1,0,0,1,1,1,0,0,1
-94,1783.1979999999999,0,0,1,0,0,1,1,1,0,0,1
-93,1767.3650000000002,0,0,1,1,0,1,1,1,0,0,1
-92,1753.1180000000002,0,0,1,0,0,1,1,1,0,0,1
-91,1739.3059999999998,0,0,1,1,0,1,1,1,0,0,1
-90,1693.2399999999996,0,0,1,1,0,1,1,1,0,0,1
-89,1827.6660000000004,0,0,1,0,0,1,1,1,0,0,1
-88,1712.6480000000004,0,0,1,0,0,1,1,1,0,0,1
-87,1803.809,0,0,1,0,0,1,1,1,0,0,1
-86,1719.906,0,0,1,0,0,1,1,1,0,0,1
-85,1783.1469999999993,0,0,1,0,0,1,1,1,0,0,1
-84,1707.8070000000002,0,0,1,0,0,1,1,1,0,0,1
-83,1775.439,0,0,1,0,0,1,1,1,0,0,1
-82,1733.357,0,0,1,0,0,1,1,1,0,0,1
-81,1703.5239999999994,0,0,1,0,0,1,1,1,0,0,1
-80,1805.4799999999993,0,0,1,0,0,1,1,1,0,0,1
-79,1687.7820000000004,0,0,1,0,0,1,1,1,0,0,1
-78,1689.8470000000004,0,0,1,0,0,1,1,1,0,0,1
-77,1835.8039999999996,0,0,1,0,0,1,1,1,0,0,1
-76,1707.349,0,0,1,0,0,1,1,1,0,0,1
-75,1780.2270000000003,0,0,1,1,0,1,1,1,0,0,1
-74,1694.5479999999995,0,0,1,0,0,1,1,1,0,0,1
-73,1714.1009999999997,0,0,1,0,0,1,1,1,0,0,1
