hour,plug,value
0,2,17687.948999999808
0,3,14.951999999999998
0,5,5037.504999999953
0,6,3913.593000000007
0,7,38176.645000000055
0,11,34880.87600000007
1,2,17601.691999999846
1,3,19.393999999999995
1,5,4759.393999999953
1,6,3685.393999999992
1,7,37259.929000000164
1,11,33964.162000000055
2,2,17987.042999999816
2,3,11.799
2,5,4874.344999999954
2,6,3793.5860000000016
2,7,37628.32099999998
2,11,34472.22100000011
3,2,17790.208999999817
3,3,13.170999999999998
3,5,4822.44099999996
3,6,3764.883999999997
3,7,37985.048000000024
3,11,34798.50699999998
4,2,18096.188999999842
4,3,14.731999999999998
4,5,4893.056999999952
4,6,3802.8700000000044
4,7,38074.60400000011
4,11,34761.0310000001
5,2,18061.10299999983
5,3,13.597999999999999
5,5,4870.12299999996
5,6,3780.9180000000024
5,7,37769.69199999998
5,11,34780.74300000002
6,2,69209.68899999978
6,3,14.032999999999998
6,5,46455.22399999996
6,6,36082.07199999999
6,7,37585.75400000005
6,11,34334.604000000065
7,2,68488.73299999979
7,3,13.105999999999996
7,5,255685.6310000001
7,6,198597.1569999993
7,7,37223.23300000011
7,11,34076.77000000006
8,2,68684.72099999987
8,3,7.890999999999999
8,5,229467.6730000006
8,6,178678.28200000033
8,7,38008.79000000007
8,11,34834.684000000045
9,2,70895.60199999978
9,3,10.518999999999998
9,5,245341.68600000028
9,6,190536.86499999987
9,7,61231.69800000001
9,11,55736.42099999993
10,2,53837.17300000021
10,3,8.706999999999999
10,5,263563.8779999993
10,6,206128.0800000003
10,7,38016.912000000106
10,11,35023.787000000026
11,2,17973.888999999825
11,3,11.510999999999997
11,5,256103.12700000053
11,6,199982.18199999988
11,7,38426.612000000096
11,9,1146.4209999999996
11,11,35241.99500000003
12,2,43115.73300000005
12,3,6.7
12,5,252355.36300000013
12,6,195659.32299999957
12,7,37750.41100000005
12,9,8756.48799999999
12,11,34515.234000000055
13,2,73588.69499999975
13,3,3.6730000000000005
13,5,236255.0549999989
13,6,183451.73100000073
13,7,37087.898000000074
13,9,8764.469999999976
13,11,33974.370000000046
14,2,69235.61299999982
14,3,5.514
14,5,245383.89899999995
14,6,190342.1999999995
14,7,37778.84500000004
